,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,=3,=10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,35-6,18-2,17-4,20-3,15-3,3-2,10-0,7-1,6-1,5-0,4-2,35-6,0-0,2-1,21-3,2-2,15-1,13-2,5-1,0-0,0-0,0-0
2,Los Angeles Lakers,32-7,15-4,17-3,10-3,22-4,1-1,2-2,7-0,9-1,4-2,9-1,32-7,0-0,4-1,16-3,3-1,14-1,9-5,6-0,0-0,0-0,0-0
3,Denver Nuggets,27-12,16-5,11-7,11-6,16-6,5-3,1-1,5-2,5-0,7-2,4-4,27-12,0-0,5-3,9-5,3-2,10-2,10-6,4-2,0-0,0-0,0-0
4,Los Angeles Clippers,27-13,17-4,10-9,10-3,17-10,4-0,2-3,4-0,5-4,6-1,6-5,27-13,0-0,5-1,17-6,4-2,10-4,10-5,3-2,0-0,0-0,0-0
5,Miami Heat,27-12,17-1,10-11,19-6,8-6,6-4,8-0,5-2,2-2,2-2,4-2,27-12,0-0,4-2,14-6,4-1,9-4,11-4,3-3,0-0,0-0,0-0
6,Utah Jazz,27-12,15-3,12-9,12-5,15-7,3-2,3-2,6-1,4-2,7-4,4-1,27-12,0-0,4-3,11-6,4-1,8-6,9-5,6-0,0-0,0-0,0-0
7,Boston Celtics,26-11,15-3,11-8,18-7,8-4,6-5,6-1,6-1,1-1,3-2,4-1,26-11,0-0,3-2,16-4,3-1,10-4,10-3,3-3,0-0,0-0,0-0
8,Houston Rockets,26-12,14-4,12-8,11-4,15-8,3-1,3-2,5-1,5-2,6-3,4-3,26-12,0-0,3-3,12-6,3-1,10-5,10-5,3-1,0-0,0-0,0-0
9,Philadelphia 76ers,25-15,18-2,7-13,17-8,8-7,6-2,7-1,4-5,5-3,1-1,2-3,25-15,0-0,4-4,10-6,4-0,10-6,9-7,2-2,0-0,0-0,0-0
10,Toronto Raptors,25-14,14-7,11-7,18-7,7-7,5-3,6-2,7-2,2-2,2-2,3-3,25-14,0-0,4-3,12-6,4-1,10-3,9-7,2-3,0-0,0-0,0-0
11,Dallas Mavericks,24-15,12-10,12-5,11-7,13-8,4-5,5-0,2-2,2-3,4-5,7-0,24-15,0-0,2-5,13-4,3-1,9-5,9-6,3-3,0-0,0-0,0-0
12,Indiana Pacers,24-15,15-5,9-10,17-11,7-4,6-1,4-6,7-4,3-1,2-1,2-2,24-15,0-0,3-4,14-6,1-3,11-4,10-5,2-3,0-0,0-0,0-0
13,Oklahoma City Thunder,22-17,13-7,9-10,7-5,15-12,3-1,2-3,2-1,3-4,5-5,7-3,22-17,0-0,5-5,8-5,1-4,6-7,11-4,4-2,0-0,0-0,0-0
14,Brooklyn Nets,18-20,11-8,7-12,12-10,6-10,4-4,2-3,6-3,2-5,1-1,3-4,18-20,0-0,3-3,7-10,1-3,9-6,6-7,2-4,0-0,0-0,0-0
15,Memphis Grizzlies,18-22,10-12,8-10,5-8,13-14,1-0,0-6,4-2,5-5,6-6,2-3,18-22,0-0,3-2,7-11,1-3,4-10,8-8,5-1,0-0,0-0,0-0
16,Orlando Magic,18-21,13-8,5-13,13-11,5-10,4-3,4-6,5-2,0-6,2-2,3-2,18-21,0-0,2-1,10-7,2-2,5-9,7-8,4-2,0-0,0-0,0-0
17,San Antonio Spurs,17-21,11-9,6-12,8-8,9-13,5-2,2-3,1-3,2-4,5-4,2-5,17-21,0-0,6-2,7-8,3-1,4-12,7-5,3-3,0-0,0-0,0-0
18,Phoenix Suns,16-23,9-14,7-9,7-4,9-19,3-1,0-0,4-3,3-6,4-6,2-7,16-23,0-0,2-6,5-9,3-2,5-8,5-10,3-3,0-0,0-0,0-0
19,Portland Trail Blazers,16-24,8-10,8-14,7-8,9-16,2-4,2-3,3-1,3-5,4-7,2-4,16-24,0-0,4-2,9-10,3-2,5-10,6-8,2-4,0-0,0-0,0-0
20,Charlotte Hornets,15-27,7-13,8-14,10-16,5-11,2-8,7-5,1-3,0-4,4-4,1-3,15-27,0-0,8-5,2-15,2-3,6-10,5-10,2-4,0-0,0-0,0-0
21,Minnesota Timberwolves,15-23,6-11,9-12,8-5,7-18,2-1,2-3,4-1,2-6,3-5,2-7,15-23,0-0,2-3,9-10,3-1,7-7,2-12,3-3,0-0,0-0,0-0
22,Sacramento Kings,15-24,8-11,7-13,4-10,11-14,2-5,0-3,2-2,4-6,4-4,3-4,15-24,0-0,5-7,5-8,0-5,8-5,4-12,3-2,0-0,0-0,0-0
23,Chicago Bulls,14-26,7-14,7-12,10-16,4-10,1-5,4-6,5-5,0-4,2-3,2-3,14-26,0-0,3-4,6-10,1-4,5-10,7-7,1-5,0-0,0-0,0-0
24,Detroit Pistons,14-26,8-12,6-14,10-20,4-6,2-5,5-8,3-7,0-2,1-2,3-2,14-26,0-0,3-4,6-15,2-3,4-10,6-9,2-4,0-0,0-0,0-0
25,New Orleans Pelicans,14-26,7-12,7-14,4-10,10-16,1-6,2-2,1-2,5-5,4-6,1-5,14-26,0-0,2-4,7-12,1-4,5-9,5-10,3-3,0-0,0-0,0-0
26,Washington Wizards,13-26,8-11,5-15,8-14,5-12,3-4,2-4,3-6,3-4,1-4,1-4,13-26,0-0,0-3,7-14,1-3,5-8,4-11,3-4,0-0,0-0,0-0
27,Cleveland Cavaliers,12-27,6-14,6-13,7-22,5-5,1-10,3-6,3-6,3-2,0-0,2-3,12-27,0-0,3-4,3-17,2-2,3-12,5-9,2-4,0-0,0-0,0-0
28,New York Knicks,11-29,6-13,5-16,6-18,5-11,1-8,2-6,3-4,1-4,2-4,2-3,11-29,0-0,4-5,4-15,1-4,3-11,5-9,2-5,0-0,0-0,0-0
29,Golden State Warriors,9-32,6-13,3-19,2-9,7-23,0-2,2-2,0-5,2-9,1-6,4-8,9-32,0-0,1-2,4-17,1-3,3-13,5-10,0-6,0-0,0-0,0-0
30,Atlanta Hawks,8-32,4-14,4-18,5-21,3-11,0-7,2-10,3-4,1-4,1-5,1-2,8-32,0-0,0-5,3-20,2-3,2-13,3-11,1-5,0-0,0-0,0-0